longitude,latitude,Hospital Name,Type,StreetNum,RoadName,RoadType,City Council,LocalityNa,Postcode,State
144.9833987,-37.80968063,East Melbourne Specialist Day Hospital,PRIVATE,23,CLARENDON,STREET,MELBOURNE, ,3002,VIC
145.1493,-37.9514,Windsor Avenue Day Surgery,PRIVATE,17,WINDSOR,AVENUE,GREATER DANDENONG, ,3171,VIC
145.3446527,-38.03458049,Hyperbaric Health Wound Centre Berwick,PRIVATE,3,GIBB,STREET,CASEY, ,3806,VIC
143.8322861,-37.54055256,Ballarat Day Procedure Centre,PRIVATE,1117-1123,HOWITT,STREET,BALLARAT, ,3355,VIC
145.1433793,-38.14818863,Bayside Day Procedure and Specialist Centre,PRIVATE,141,CRANBOURNE,ROAD,FRANKSTON, ,3199,VIC
144.2615,-36.7619,Bendigo Day Surgery,PRIVATE,1-7,CHUM,STREET,GREATER BENDIGO, ,3555,VIC
145.0412331,-37.92012465,Bentleigh Surgicentre,PRIVATE,157,JASPER,ROAD,GLEN EIRA, ,3204,VIC
145.3465186,-38.03349627,Berwick Surgicentre,PRIVATE,22,LANGMORE,LANE,CASEY, ,3806,VIC
144.9918171,-37.91255965,Brighton Plastic Surgery Centre,PRIVATE,206,NEW,STREET,BAYSIDE, ,3186,VIC
145.0618787,-37.69257276,Victorian Gut Centre,PRIVATE,119,PLENTY,ROAD,WHITTLESEA, ,3083,VIC
145.0568024,-37.96046698,Chesterville Day Hospital,PRIVATE,28,CHESTERVILLE,ROAD,KINGSTON, ,3192,VIC
144.9647711,-37.7450167,Coburg Endoscopy Centre,PRIVATE,15,MUNRO,STREET,MORELAND, ,3058,VIC
145.2233009,-37.97424741,Dandenong Eye Clinic & Day Surgery Centre,PRIVATE,1-3,FALKINER,CRESCENT,GREATER DANDENONG, ,3175,VIC
145.0175764,-37.78110112,Darebin Endoscopy Services,PRIVATE,42,STATION,STREET,DAREBIN, ,3078,VIC
145.1075879,-37.70532861,Diaverum Diamond Valley Dialysis Clinic,PRIVATE,15,GRIMSHAW,STREET,BANYULE, ,3088,VIC
144.9399083,-37.78867873,Diaverum North Melbourne Dialysis Clinic,PRIVATE,185,BOUNDARY,ROAD,MELBOURNE, ,3051,VIC
145.2275022,-37.81978389,Eastside Endoscopy Centre,PRIVATE,33,WANTIRNA,ROAD,MAROONDAH, ,3134,VIC
144.9236382,-37.76579341,Essendon Private Clinic,PRIVATE,665,MOUNT ALEXANDER,ROAD,MOONEE VALLEY, ,3039,VIC
145.0192142,-37.90043471,Glen Eira Day Surgery,PRIVATE,544,HAWTHORN,ROAD,GLEN EIRA, ,3162,VIC
145.0940256,-37.85808926,Glen Iris Private,PRIVATE,314,WARRIGAL,ROAD,BOROONDARA, ,3146,VIC
145.0601726,-37.73049186,Heidelberg Endoscopy and Day Surgery Centre,PRIVATE,177-179,NORTHERN,ROAD,BANYULE, ,3081,VIC
144.8284825,-37.86964791,Altona Endoscopy Centre,PRIVATE,3-5,SARGOOD,STREET,HOBSONS BAY, ,3018,VIC
144.6867,-37.8905,Werribee Endoscopy Centre,PRIVATE,179,PRINCES,HIGHWAY,WYNDHAM, ,3030,VIC
145.0449,-37.767,Ivanhoe Endoscopy Centre,PRIVATE,226,UPPER HEIDELBERG,ROAD,BANYULE, ,3079,VIC
144.9786716,-37.81676535,Jolimont Endoscopy Centre,PRIVATE,201,WELLINGTON,PARADE,MELBOURNE, ,3002,VIC
145.0305,-37.8515,Malvern Dialysis Clinic,PRIVATE,1133,MALVERN,ROAD,STONNINGTON, ,3144,VIC
145.1152,-37.7731,Manningham Day Procedure Centre,PRIVATE,503/200,HIGH,STREET,MANNINGHAM, ,3107,VIC
145.0304,-37.8878,Melbourne Day Surgery Centre,PRIVATE,961,GLEN HUNTLY,ROAD,GLEN EIRA, ,3162,VIC
144.9791,-37.8446,Melbourne Endoscopy,PRIVATE,517,ST KILDA,ROAD,MELBOURNE, ,3004,VIC
144.3632152,-38.15107303,Monash IVF Geelong,PRIVATE,73-79,LITTLE RYRIE,STREET,GREATER GEELONG, ,3220,VIC
145.1897,-37.9671,Noble Park Endoscopy Centre,PRIVATE,1304,HEATHERTON,ROAD,GREATER DANDENONG, ,3174,VIC
144.9093796,-37.77115427,Northwest Day Hospital,PRIVATE,221,MARIBYRNONG,ROAD,MOONEE VALLEY, ,3032,VIC
144.9981,-37.7176,Reservoir Private Hospital Day Procedure Centre,PRIVATE,73-75,PINE,STREET,DAREBIN, ,3073,VIC
144.8836475,-38.36183865,Rosebud SurgiCentre,PRIVATE,1537,POINT NEPEAN,ROAD,MORNINGTON PENINSULA, ,3940,VIC
144.941,-37.8145,Specialist Surgicentre Docklands,PRIVATE,22,RAKAIA,WAY,MELBOURNE, ,3008,VIC
145.1496,-37.9495,Springvale Endoscopy Centre and Day Hospital,PRIVATE,20,BALMORAL,AVENUE,GREATER DANDENONG, ,3171,VIC
144.7794,-37.744,St Albans Endoscopy Centre,PRIVATE,328-330,STATION,ROAD,BRIMBANK, ,3021,VIC
144.9822,-37.8731,St Kilda Day Hospital,PRIVATE,26A,DICKENS,STREET,PORT PHILLIP, ,3184,VIC
145.0393988,-37.86365343,Stonnington Day Surgery,PRIVATE,253,WATTLETREE,ROAD,STONNINGTON, ,3144,VIC
145.0178298,-37.87021315,Precision Ascend Rehabilitation Centre,PRIVATE,73,KOOYONG,ROAD,GLEN EIRA, ,3161,VIC
145.216202,-37.97733019,The Digestive Health Centre,PRIVATE,90,DAVID,STREET,GREATER DANDENONG, ,3175,VIC
145.165181,-37.8846424,The Glen Endoscopy Centre,PRIVATE,302,SPRINGVALE,ROAD,MONASH, ,3150,VIC
145.0282824,-37.86396884,Toorak - Malvern Day Surgery Centre,PRIVATE,30-32,GLENFERRIE,ROAD,STONNINGTON, ,3144,VIC
145.008,-37.8414,Toorak Cosmetic Surgery Day Centre,PRIVATE,109,MATHOURA,ROAD,STONNINGTON, ,3142,VIC
145.0555,-37.8325,Vision Day Surgery Camberwell,PRIVATE,25-27,DENMARK HILL,ROAD,BOROONDARA, ,3123,VIC
145.1195514,-37.81769263,Vision Day Surgery Eastern,PRIVATE,852,WHITEHORSE,ROAD,WHITEHORSE, ,3128,VIC
144.9803,-37.8506,Vision Laser St Kilda Road,PRIVATE,600-602,ST KILDA,ROAD,PORT PHILLIP, ,3004,VIC
145.1466179,-37.88034991,Waverley Endoscopy,PRIVATE,301,BLACKBURN,ROAD,MONASH, ,3149,VIC
144.6797482,-37.87748548,Westpoint Endoscopy Day Hospital,PRIVATE,243,HEATHS,ROAD,WYNDHAM, ,3030,VIC
144.8162628,-37.76103061,Sunshine Private Day Surgery,PRIVATE,145,FURLONG,ROAD,BRIMBANK, ,3021,VIC
144.8853872,-37.79198064,Western Gastroenterology Services,PRIVATE,30,ELEANOR,STREET,MARIBYRNONG, ,3011,VIC
144.7496,-37.5798,Goonawarra Day Hospital,PRIVATE,11,DORNOCH,DRIVE,HUME, ,3429,VIC
144.9837,-37.8251,Imaging@Olympic Park,PRIVATE,60,OLYMPIC,BOULEVARD,MELBOURNE, ,3004,VIC
144.7586258,-37.69335073,Sydenham Day Surgery,PRIVATE,566,MELTON,HIGHWAY,BRIMBANK, ,3037,VIC
144.9980639,-37.85608534,Windsor Private Hospital,PRIVATE,20-22,THE AVENUE, ,STONNINGTON, ,3181,VIC
145.0496165,-38.22543417,Beleura Private Hospital,PRIVATE,925,NEPEAN,HIGHWAY,MORNINGTON PENINSULA, ,3931,VIC
145.1552726,-37.83284916,Bellbird Private Hospital,PRIVATE,198,CANTERBURY,ROAD,WHITEHORSE, ,3130,VIC
