Label,Value
Melbourne 3000,Melbourne
Melbourne 3001,Melbourne
East Melbourne 3002,East Melbourne
West Melbourne 3003,West Melbourne
St Kilda Road Central 3004,St Kilda Road Central
Melbourne 3004,Melbourne
St Kilda Road Melbourne 3004,St Kilda Road Melbourne
World Trade Centre 3005,World Trade Centre
Southbank 3006,Southbank
South Wharf 3006,South Wharf
Docklands 3008,Docklands
University Of Melbourne 3010,University Of Melbourne
Footscray 3011,Footscray
Seddon West 3011,Seddon West
Seddon 3011,Seddon
Tottenham 3012,Tottenham
Kingsville 3012,Kingsville
Maidstone 3012,Maidstone
Brooklyn 3012,Brooklyn
West Footscray 3012,West Footscray
Yarraville 3013,Yarraville
Yarraville West 3013,Yarraville West
Spotswood 3015,Spotswood
South Kingsville 3015,South Kingsville
Newport 3015,Newport
Williamstown 3016,Williamstown
Williamstown North 3016,Williamstown North
Seaholme 3018,Seaholme
Altona 3018,Altona
Braybrook 3019,Braybrook
Robinson 3019,Robinson
Sunshine North 3020,Sunshine North
Sunshine West 3020,Sunshine West
Sunshine 3020,Sunshine
Albion 3020,Albion
Glengala 3020,Glengala
St Albans 3021,St Albans
Albanvale 3021,Albanvale
Kings Park 3021,Kings Park
Kealba 3021,Kealba
Deer Park East 3022,Deer Park East
Ardeer 3022,Ardeer
Deer Park 3023,Deer Park
Cairnlea 3023,Cairnlea
Caroline Springs 3023,Caroline Springs
Burnside Heights 3023,Burnside Heights
Burnside 3023,Burnside
Ravenhall 3023,Ravenhall
Deer Park North 3023,Deer Park North
Wyndham Vale 3024,Wyndham Vale
Mount Cottrell 3024,Mount Cottrell
Mambourin 3024,Mambourin
Altona North 3025,Altona North
Altona East 3025,Altona East
Altona Gate 3025,Altona Gate
Laverton North 3026,Laverton North
Williams Landing 3027,Williams Landing
Laverton 3028,Laverton
Seabrook 3028,Seabrook
Altona Meadows 3028,Altona Meadows
Hoppers Crossing 3029,Hoppers Crossing
Tarneit 3029,Tarneit
Truganina 3029,Truganina
Derrimut 3030,Derrimut
Quandong 3030,Quandong
Werribee South 3030,Werribee South
Werribee 3030,Werribee
Cocoroc 3030,Cocoroc
Point Cook 3030,Point Cook
Kensington 3031,Kensington
Flemington 3031,Flemington
Travancore 3032,Travancore
Ascot Vale 3032,Ascot Vale
Highpoint City 3032,Highpoint City
Maribyrnong 3032,Maribyrnong
Keilor East 3033,Keilor East
Avondale Heights 3034,Avondale Heights
Keilor North 3036,Keilor North
Keilor 3036,Keilor
Hillside 3037,Hillside
Delahey 3037,Delahey
Calder Park 3037,Calder Park
Taylors Hill 3037,Taylors Hill
Sydenham 3037,Sydenham
Keilor Lodge 3038,Keilor Lodge
Watergardens 3038,Watergardens
Taylors Lakes 3038,Taylors Lakes
Keilor Downs 3038,Keilor Downs
Moonee Ponds 3039,Moonee Ponds
Aberfeldie 3040,Aberfeldie
Essendon 3040,Essendon
Essendon West 3040,Essendon West
Strathmore Heights 3041,Strathmore Heights
Strathmore 3041,Strathmore
Essendon Fields 3041,Essendon Fields
Essendon North 3041,Essendon North
Cross Keys 3041,Cross Keys
Niddrie 3042,Niddrie
Airport West 3042,Airport West
Niddrie North 3042,Niddrie North
Keilor Park 3042,Keilor Park
Tullamarine 3043,Tullamarine
Gladstone Park 3043,Gladstone Park
Gowanbrae 3043,Gowanbrae
Pascoe Vale 3044,Pascoe Vale
Pascoe Vale South 3044,Pascoe Vale South
Melbourne Airport 3045,Melbourne Airport
Oak Park 3046,Oak Park
Hadfield 3046,Hadfield
Glenroy 3046,Glenroy
Jacana 3047,Jacana
Dallas 3047,Dallas
Broadmeadows 3047,Broadmeadows
Coolaroo 3048,Coolaroo
Meadow Heights 3048,Meadow Heights
Attwood 3049,Attwood
Westmeadows 3049,Westmeadows
Royal Melbourne Hospital 3050,Royal Melbourne Hospital
North Melbourne 3051,North Melbourne
Hotham Hill 3051,Hotham Hill
Parkville 3052,Parkville
Melbourne University 3052,Melbourne University
Carlton 3053,Carlton
Carlton South 3053,Carlton South
Princes Hill 3054,Princes Hill
Carlton North 3054,Carlton North
Brunswick West 3055,Brunswick West
Moonee Vale 3055,Moonee Vale
Brunswick South 3055,Brunswick South
Moreland West 3055,Moreland West
Brunswick 3056,Brunswick
Brunswick Lower 3056,Brunswick Lower
Brunswick North 3056,Brunswick North
Brunswick East 3057,Brunswick East
Sumner 3057,Sumner
Coburg 3058,Coburg
Batman 3058,Batman
Coburg North 3058,Coburg North
Merlynston 3058,Merlynston
Moreland 3058,Moreland
Greenvale 3059,Greenvale
Fawkner 3060,Fawkner
Campbellfield 3061,Campbellfield
Somerton 3062,Somerton
Oaklands Junction 3063,Oaklands Junction
Yuroke 3063,Yuroke
Roxburgh Park 3064,Roxburgh Park
Kalkallo 3064,Kalkallo
Donnybrook 3064,Donnybrook
Mickleham 3064,Mickleham
Craigieburn 3064,Craigieburn
Fitzroy 3065,Fitzroy
Collingwood 3066,Collingwood
Collingwood North 3066,Collingwood North
Abbotsford 3067,Abbotsford
Clifton Hill 3068,Clifton Hill
Fitzroy North 3068,Fitzroy North
Northcote 3070,Northcote
Northcote South 3070,Northcote South
Thornbury 3071,Thornbury
