id,text
,Your language
Abkhaz,Abkhaz
Afar,Afar
Afar Dominica,Afar Dominica
African languages,African languages
Afrikaans,Afrikaans
Albanian,Albanian
Alsatian,Alsatian
Amharic,Amharic
Arabic,Arabic
Armenian,Armenian
Assamese,Assamese
Assyrian Neo-Aramaic,Assyrian Neo-Aramaic
Ateso,Ateso
Auslan,Auslan
Aymara,Aymara
Azari,Azari
Azerbaijani,Azerbaijani
Azeri,Azeri
Balinese,Balinese
Balochi,Balochi
Bandjabi Gambia,Bandjabi Gambia
Bantu,Bantu
Bapounou/Eschira,Bapounou/Eschira
Basque,Basque
Bassa,Bassa
Bateke,Bateke
Belorussian,Belorussian
Bengali,Bengali
Berber,Berber
Bhojpuri,Bhojpuri
Bislama,Bislama
Bojpoori,Bojpoori
Bokmal,Bokmal
Bosnian,Bosnian
Brahui,Brahui
Breton,Breton
Brong Ahafo,Brong Ahafo
Bubi,Bubi
Bulgarian,Bulgarian
Burmese,Burmese
Burushaski,Burushaski
Cakchiquel,Cakchiquel
Cantonese,Cantonese
Carib,Carib
Castilian,Castilian
Castilian Spanish,Castilian Spanish
Catalan,Catalan
Cebuano,Cebuano
Central Tibetan,Central Tibetan
Chichewa,Chichewa
Chin,Chin
Chinese,Chinese
Chukese,Chukese
Corsican,Corsican
Cotocoli,Cotocoli
Creole,Creole
Criolo,Criolo
Criuolo,Criuolo
Croatian,Croatian
Cushitic,Cushitic
Czech,Czech
Dagbani,Dagbani
Danish,Danish
Dari,Dari
Daur,Daur
Dhivehi,Dhivehi
Dinka,Dinka
Dutch,Dutch
Dzongkha,Dzongkha
English,English
Estonian,Estonian
Ewe,Ewe
Faeroese,Faeroese
Fang,Fang
Fanti,Fanti
Farsi,Farsi
Fijian,Fijian
Fijian Hindustani,Fijian Hindustani
Filipino,Filipino
Finnish,Finnish
Flemish,Flemish
Fon,Fon
French,French
French patois,French patois
Frisian,Frisian
Fula,Fula
Fulani,Fulani
Ga,Ga
Gaelic,Gaelic
Gaelic (Scotland),Gaelic (Scotland)
Gagauz,Gagauz
Galician,Galician
Galole,Galole
Garifuna,Garifuna
Georgian,Georgian
German,German
Gilbertese,Gilbertese
Greek,Greek
Greenlandic,Greenlandic
Guaragigna,Guaragigna
Guarani,Guarani
Gujarati,Gujarati
Hakka,Hakka
Hansa,Hansa
Hassaniya Arabic,Hassaniya Arabic
Hausa,Hausa
Hazaragi,Hazaragi
Hebrew,Hebrew
Hindi,Hindi
Hindko,Hindko
Honduras,Honduras
Hungarian,Hungarian
Ibo,Ibo
Icelandic,Icelandic
I-Kiribati,I-Kiribati
Ilocano,Ilocano
Ilonggo (Hiligaynon),Ilonggo (Hiligaynon)
Indonesian,Indonesian
Irish,Irish
Italian,Italian
Jamaican Creole,Jamaican Creole
Japanese,Japanese
Javanese,Javanese
Jola-Fonyi,Jola-Fonyi
Kabylie,Kabylie
Kalmyk-Oirat,Kalmyk-Oirat
Kannada,Kannada
Karen,Karen
Kashmiri,Kashmiri
Kazak,Kazak
Kekchi,Kekchi
Kemak,Kemak
Khmer,Khmer
Kikongo,Kikongo
Kingwana,Kingwana
Kinyarwanda (Rwanda),Kinyarwanda (Rwanda)
Kirundi,Kirundi
Kirundi (Rundi),Kirundi (Rundi)
konkani,konkani
Korean,Korean
Kosrean,Kosrean
Krio,Krio
Kurdish,Kurdish
Kyrgyz,Kyrgyz
Lao,Lao
Latin,Latin
Latvian,Latvian
Liberian English,Liberian English
Lingala,Lingala
Lithuanian,Lithuanian
Lorma,Lorma
Lu,Lu
Luganda,Luganda
Luo,Luo
Luxermbourgish,Luxermbourgish
Macedonian,Macedonian
Magyar,Magyar
Maithali,Maithali
Malagasy,Malagasy
Malay,Malay
Malayalam,Malayalam
Maltese,Maltese
Mam,Mam
Mambae,Mambae
Mandaic,Mandaic
Mandarin,Mandarin
Mandingo,Mandingo
Mandinka,Mandinka
Mandjaque,Mandjaque
Maninkakan,Maninkakan
Maori (Cook Island),Maori (Cook Island)
