Education_Sector,School_Name,School_Type,Address_Line_1,Address_Town,Address_Postcode,Full_Phone_No,longitude,latitude
Government,Alberton Primary School,Primary,21 Thomson Street,Alberton,3971,03 5183 2412,146.666601,-38.617713
Government,Allansford and District Primary School,Primary,Frank Street,Allansford,3277,03 5565 1382,142.590393,-38.386281
Government,Avoca Primary School,Primary,118 Barnett Street,Avoca,3467,03 5465 3176,143.475649,-37.084502
Government,Avenel Primary School,Primary,40 Anderson Street,Avenel,3664,03 5796 2264,145.234722,-36.901368
Government,Warrandyte Primary School,Primary,5-11 Forbes Street,Warrandyte,3113,03 9844 3537,145.21398,-37.742675
Government,Belmont Primary School,Primary,51 Mt Pleasant Road,Belmont,3216,03 5243 2972,144.342099,-38.170672
Government,Bacchus Marsh Primary School,Primary,56-62 Lerderderg Street,Bacchus Marsh,3340,03 5367 2745,144.4431207,-37.67302961
Government,Ballarat Primary School (Dana Street),Primary,401 Dana Street,Ballarat,3350,03 5332 1301,143.853936,-37.56401278
Government,Wodonga Primary School,Primary,Brockley Street,Wodonga,3690,02 6048 0300,146.88982,-36.129214
Government,Berwick Primary School,Primary,37 Fairholme Boulevard,Berwick,3806,03 9707 1026,145.353743,-38.044178
Government,Beaufort Primary School,Primary,2/37 Park Road,Beaufort,3373,03 5349 2490,143.3817175,-37.43852098
Government,Cheltenham Primary School,Primary,231 Charman Road,Cheltenham,3192,03 8585 3200,145.054635,-37.968608
Government,Cudgee Primary School,Primary,3 Hallowells Road,Cudgee,3265,03 5567 6346,142.650844,-38.347938
Government,Newport Lakes Primary School,Primary,Elizabeth Street,Newport,3015,03 9391 8942,144.878345,-37.838424
Government,Cavendish Primary School,Primary,8-10 Barker Street,Cavendish,3314,03 5574 2282,142.039893,-37.53087
Government,Colac Primary School,Primary,53-65 Murray Street East,Colac,3250,03 5231 2560,143.598336,-38.337224
Government,Castlemaine Primary School,Primary,Cnr Mostyn & Urquhart Street,Castlemaine,3450,03 5472 1452,144.222329,-37.066595
Government,Campbells Creek Primary School,Primary,Main Road,Campbells Creek,3451,03 5472 2180,144.204662,-37.092935
Government,Creswick Primary School,Primary,67 Napier Street,Creswick,3363,03 5345 2044,143.8915581,-37.42411355
Government,California Gully Primary School,Primary,4-14 Staley Street,California Gully,3556,03 5446 8393,144.249857,-36.733207
Government,St Andrews Primary School,Primary,Caledonia Street,St Andrews,3761,03 9710 1255,145.269827,-37.602316
Government,Warrnambool West Primary School,Primary,35 Hoddle Street,Warrnambool,3280,03 5561 3161,142.466796,-38.366338
Government,Dromana Primary School,Primary,Mcculloch Street,Dromana,3936,03 5987 2367,144.959653,-38.339644
Government,Doncaster Primary School,Primary,2 - 12 Council Street,Doncaster,3108,03 9848 1122,145.129673,-37.786804
Government,Echuca Primary School,Primary,413-431 High Street,Echuca,3564,03 5483 0700,144.747463,-36.128198
Government,Eltham Primary School,Primary,Dalton Street,Eltham,3095,03 9439 9374,145.1478042,-37.72498353
Government,Eaglehawk Primary School,Primary,Church St,Eaglehawk,3556,03 5446 3722,144.254602,-36.720628
Government,Elphinstone Primary School,Primary,26 Wright Street,Elphinstone,3448,03 5473 3285,144.3329025,-37.10500363
Government,Hallam Primary School,Primary,24 Harmer Road,Hallam,3803,03 9703 1536,145.258493,-38.001575
Government,Flemington Primary School,Primary,Mt Alexander Road,Flemington,3031,03 9376 7137,144.933597,-37.781393
Government,Footscray Primary School,Primary,Cnr Geelong Road & Barkly St,Footscray,3011,03 9687 1910,144.892669,-37.798383
Government,Gisborne Primary School,Primary,35 Fisher Street,Gisborne,3437,03 5428 2022,144.5884416,-37.4908591
Government,Sandringham Primary School,Primary,31 Bamfield Street,Sandringham,3191,03 9598 1488,145.009306,-37.947631
Government,Wandiligong Primary School,Primary,119 School Road,Wandiligong,3744,,146.982923,-36.768862
Government,Grovedale Primary School,Primary,143 Bailey Street,Grovedale,3216,03 5243 3902,144.347794,-38.197238
Government,Hawthorn West Primary School,Primary,Cnr Wood Street & Burwood Road,Hawthorn,3122,03 9818 2233,145.018377,-37.820112
Government,Heidelberg Primary School,Primary,Cape Street,Heidelberg,3084,03 9457 2259,145.067799,-37.754705
Government,Hamilton (Gray Street) Primary School,Primary,42 Gray Street,Hamilton,3300,03 5571 9295,142.021384,-37.744914
Government,Heathcote Primary School,Primary,31 Herriot Street,Heathcote,3523,03 5433 3090,144.706851,-36.924012
Government,Highton Primary School,Primary,218 Roslyn Road,Highton,3216,03 5243 1494,144.317085,-38.172156
Government,Huntly Primary School,Primary,101 Brunel Street,Huntly,3551,03 5448 8866,144.334396,-36.662544
Government,Bellbrae Primary School,Primary,50 School Road,Bellbrae,3228,03 5261 2660,144.2630037,-38.33364403
Government,Chiltern Primary School,Primary,91-101 Albert Road,Chiltern,3683,03 5726 1421,146.606601,-36.147066
Government,Kyneton Primary School,Primary,7-15 Baynton Street,Kyneton,3444,03 5422 1855,144.45133,-37.249009
