Suburb,Language,Count,sub_location
Abbotsford,English,5324,
Aberfeldie,English,2919,
Acheron,English,146,
Adams Estate,English,46,
Addington,English,59,
Adelaide Lead,English,76,
Agnes,English,54,
Aireys Inlet,English,701,
Airly,English,133,
Airport West,English,4980,
Albanvale,English,1853,
Albert Park,English,4586,
Alberton,English,237,
Alberton West,English,70,
Albion,English,1817,
Alexandra,English,2437,
Alfredton,English,7970,
Allambee,English,19,
Allambee Reserve,English,56,
Allambee South,English,64,
Allans Flat,English,302,
Allansford,English,1365,
Allendale,English,141,
Allestree,English,115,
Alma,English,193,
Almonds,English,23,
Almurta,English,44,
Alphington,English,3923,
Altona,English,7906,
Altona Meadows,English,11421,
Altona North,English,5455,
Alvie,English,112,
Amherst,English,58,
Amphitheatre,English,227,
Anakie,English,588,
Ancona,English,71,
Anderson,English,22,
Anglers Rest,English,18,
Anglesea,English,2342,
Annuello,English,25,
Antwerp,English,59,
Apollo Bay,English,1309,
Appin,English,13,
Appin South,English,25,
Apsley,English,259,
Ararat,English,6852,
Arawata,English,83,
Arcadia,English,209,
Arcadia South,English,65,
Archdale,English,21,
Archdale Junction,English,3,
Archerton,English,15,
Archies Creek,English,16,
Ardeer,English,1228,
Ardmona,English,333,
Areegra,English,23,
Argyle,English,194,
Armadale,English,6653,
Armstrong,English,77,
Armstrong Creek,English,3667,
Arnold,English,49,
Arnold West,English,12,
Arthurs Creek,English,433,
Arthurs Seat,English,361,
Ascot,English,92,Ballarat
Ascot,English,1790,Greater Bendigo
Ascot Vale,English,9753,
Ashbourne,English,180,
Ashburton,English,5789,
Ashwood,English,3949,
Aspendale,English,5913,
Aspendale Gardens,English,4621,
Athlone,English,109,
Attwood,English,2306,
Aubrey,English,5,
Auchmore,English,8,
Avalon,English,205,
Avenel,English,909,
Avoca,English,1076,
Avon Plains,English,6,
Avondale Heights,English,5145,
Avonmore,English,43,
Avonsleigh,English,764,
Axe Creek,English,327,
Axedale,English,742,
Ayrford,English,44,
Bacchus Marsh,English,5634,
Baddaginnie,English,297,
Badger Creek,English,1459,
Bael Bael,English,7,
Bagshot,English,269,
Bagshot North,English,30,
Bahgallah,English,35,
Bailieston,English,103,
Bairnsdale,English,6505,
Bakery Hill,English,125,
Balaclava,English,3749,
Bald Hills,English,99,
Balintore,English,60,
Ballan,English,2664,
Ballangeich,English,50,
Ballapur,English,7,
Ballarat Central,English,4596,
Ballarat East,English,4904,
Ballarat North,English,3598,
Ballendella,English,110,
Balliang,English,243,
Balliang East,English,132,
Ballyrogan,English,57,
Balmattum,English,101,
Balmoral,English,271,
Balnarring,English,2061,
Balnarring Beach,English,361,
Balwyn,English,7484,
Balwyn North,English,10965,
Bamawm,English,465,
Bamawm Extension,English,217,
Bambra,English,96,
Bamganie,English,41,
Bandiana,English,551,
Bangerang,English,51,
Bangholme,English,633,
Bannerton,English,37,
Bannockburn,English,4850,
Banyan,English,22,
Banyena,English,24,
Baranduda,English,2176,
Barfold,English,80,
Baringhup,English,184,
Baringhup West,English,17,
Barjarg,English,111,
Barkers Creek,English,399,
Barkly,English,38,
Barkstead,English,35,
Barmah,English,234,
Barnadown,English,12,
Barnawartha,English,837,
Barnawartha North,English,147,
Baromi,English,114,
Barongarook,English,398,
Barongarook West,English,219,
Barrabool,English,207,
Barrakee,English,17,
Barramunga,English,10,
Barraport,English,33,
Barraport West,English,11,
Barrys Reef,English,24,
Barunah Park,English,20,
Barunah Plains,English,9,
Barwidgee,English,87,
Barwite,English,207,
Barwon Downs,English,130,
Barwon Heads,English,3606,
Basalt,English,6,
Bass,English,322,
Batesford,English,833,
Bathumi,English,53,
Baw Baw Village,English,20,
Baxter,English,1895,
Bayindeen,English,21,
Bayles,English,408,
Baynton,English,97,
Bayswater,English,7977,
Bayswater North,English,6826,
Beaconsfield,English,5973,
Beaconsfield Upper,English,2603,
Bealiba,English,173,
Bearii,English,112,
Bears Lagoon,English,59,
Beauchamp,English,38,
Beaufort,English,1360,
Beaumaris,English,11432,
Beazleys Bridge,English,17,
Beeac,English,330,
Beech Forest,English,70,
Beechworth,English,3273,
Beenak,English,21,
Belgrave,English,3488,
Belgrave Heights,English,1214,
Belgrave South,English,1507,
Bell Park,English,2917,
Bell Post Hill,English,3256,
Bellarine,English,138,
Bellbird Creek,English,3,
Bellbrae,English,809,
Bellbridge,English,332,
Bellellen,English,57,
Bellfield,English,1015,Banyule
Bells Beach,English,120,
Belmont,English,12015,
Bemm River,English,58,
Bena,English,263,
Benalla,English,9213,
Benambra,English,129,
Benayeo,English,57,
Bend Of Islands,English,271,
Bendigo,English,4639,
Bendoc,English,96,
Bengworden,English,58,
Benjeroop,English,42,
Benloch,English,118,
Bennison,English,42,
Bentleigh,English,10830,
Bentleigh East,English,17706,
Benwerrin,English,7,
Beremboke,English,138,
Berrimal,English,42,
Berringa,English,147,
Berringama,English,33,
Berriwillock,English,167,
Berrybank,English,34,
Berrys Creek,English,140,
Berwick,English,34914,
Bessiebelle,English,95,
Bet Bet,English,111,
Bete Bolong,English,86,
Bete Bolong North,English,10,
Bethanga,English,436,
Betley,English,86,
Beulah,English,297,
Beverford,English,301,
Beveridge,English,1741,
Big Desert,English,4,
Big Hill,English,231,Greater Bendigo
Big Hill,English,26,Surf Coast
Big Pats Creek,English,69,
Biggara,English,47,
Bimbourie,English,11,
Bindi,English,43,
Binginwarri,English,126,
Bingo Munjie,English,4,
Birchip,English,605,
Birchip West,English,4,
Birdwoodton,English,549,
Birregurra,English,747,
Bittern,English,3414,
Black Hill,English,1846,
Black Range,English,152,
Black Rock,English,5162,
Blackburn,English,9946,
Blackburn North,English,4567,
Blackburn South,English,7007,
Blackwarry,English,21,
Blackwood,English,241,
Blairgowrie,English,1991,
Blakeville,English,34,
Blampied,English,172,
Blind Bight,English,1138,
Blowhard,English,80,
Bo Peep,English,26,
Bobinawarrah,English,82,
Bochara,English,70,
Bogong,English,3,
Boho,English,68,
Boho South,English,61,
Boigbeat,English,8,
Boinka,English,9,
Boisdale,English,259,
Bolinda,English,163,
Bolton,English,14,
Bolwarra,English,549,
Bolwarrah,English,25,
Bona Vista,English,105,
Bonang,English,45,
Bonbeach,English,5091,
Bonegilla,English,593,
Boneo,English,296,
Bonn,English,27,
Bonnie Doon,English,489,
Bonshaw,English,195,
Bookaar,English,153,
Boolarong,English,10,
Boolarra,English,894,
Boolarra South,English,114,
Boole Poole,English,4,
Boolite,English,26,
Boomahnoomoonah,English,18,
Boonah,English,11,
Boorcan,English,120,
Boorhaman,English,116,
Boorhaman East,English,17,
Boorhaman North,English,41,
Boorolite,English,123,
Boorool,English,45,
Boort,English,767,
Boosey,English,91,
Boralma,English,61,
Bornes Hill,English,27,
Boronia,English,17425,
Borung,English,56,
Bostocks Creek,English,77,
Botanic Ridge,English,3499,
Boundary Bend,English,107,
Bowenvale,English,166,
Boweya,English,39,
Boweya North,English,43,
Bowmans Forest,English,89,
Bowser,English,43,
Box Hill,English,4206,
Box Hill North,English,6214,
Box Hill South,English,5145,
Boxwood,English,25,
Bradford,English,11,
Bradvale,English,42,
Braeside,English,16,
Brandy Creek,English,91,
Branxholme,English,305,
Bravington,English,12,
Braybrook,English,2260,
Breakaway Creek,English,33,
Breakwater,English,850,
Breamlea,English,118,
Brenanah,English,25,
Brewster,English,39,
Briagolong,English,1002,
Briar Hill,English,2713,
Bridge Creek,English,86,
Bridgewater,English,130,
Bridgewater North,English,53,
Bridgewater On Loddon,English,292,
Bright,English,2004,
Brighton,English,18356,
Brighton East,English,12096,
Brim,English,156,
Brimboal,English,9,
Brimin,English,42,
Brimpaen,English,72,
Bringalbert,English,10,
Brit Brit,English,32,
Broadford,English,3923,
Broadmeadows,English,3470,
Broadwater,English,79,
Brodribb River,English,32,
Broken Creek,English,26,
Bromley,English,46,
Brookfield,English,6177,
Brooklyn,English,1020,
Brookville,English,4,
Broomfield,English,183,
Broughton,English,142,
Brown Hill,English,3310,
Browns Plains,English,98,
Bruarong,English,71,
Brucknell,English,101,
Brunswick,English,16101,
Brunswick East,English,7721,
Brunswick West,English,8789,
Bruthen,English,737,
Buangor,English,85,
Buchan,English,216,
Buchan South,English,83,
Buckland,English,118,
Buckley,English,186,
Buckley Swamp,English,26,
Buckrabanyule,English,38,
Budgeree,English,134,
Budgerum East,English,6,
Buffalo,English,238,
Buffalo River,English,207,
Bulart,English,86,
Buldah,English,5,
Bulga,English,4,
Bulgana,English,26,
Bulla,English,449,
Bullaharre,English,17,
Bullarook,English,94,
Bullarto,English,71,
Bullarto South,English,34,
Bulleen,English,5065,
Bullengarook,English,595,
Bullioh,English,74,
Bullumwaal,English,33,
Buln Buln,English,503,
Buln Buln East,English,159,
Bumberrah,English,71,
Bunbartha,English,258,
Bundalaguah,English,172,
Bundalong,English,383,
Bundalong South,English,40,
Bunding,English,56,
Bundoora,English,14391,
Bung Bong,English,41,
Bungador,English,60,
Bungal,English,39,
Bungalally,English,92,
Bungaree,English,256,
Bungeet,English,28,
Bungeet West,English,43,
Bungil,English,9,
Bunguluke,English,8,
Buninyong,English,3395,
Bunkers Hill,English,253,
Bunyip,English,2261,
Bunyip North,English,104,
Burkes Bridge,English,12,
Burkes Flat,English,12,
Burnbank,English,51,
Burnewang,English,29,
Burnley,English,622,
Burnside,English,2196,
Burnside Heights,English,2266,
Burramboot,English,28,
Burramine,English,172,
Burramine South,English,21,
Burrowye,English,35,
Burrumbeet,English,205,
Burwood,English,7397,
Burwood East,English,4566,
Bushfield,English,525,
Bushy Park,English,47,
Butchers Ridge,English,10,
Buxton,English,444,
Byaduk,English,107,
Byaduk North,English,109,
Byawatha,English,153,
Bylands,English,94,
Byrneside,English,139,
Cabarita,English,440,
Cabbage Tree,English,12,
Cabbage Tree Creek,English,37,
Cadello,English,13,
Cairnlea,English,2514,
Caldermeade,English,166,
California Gully,English,3895,
Calivil,English,131,
Callawadda,English,36,
Callignee,English,307,
Callignee North,English,42,
Callignee South,English,11,
Calrossie,English,26,
Calulu,English,154,
Camberwell,English,16018,
Cambrian Hill,English,225,
Campbellfield,English,923,
Campbells Bridge,English,23,
Campbells Creek,English,1569,
Campbells Forest,English,35,
Campbelltown,English,36,
Camperdown,English,3074,
Canadian,English,3058,
Canary Island,English,10,
Caniambo,English,66,
Cann River,English,168,
Cannie,English,14,
Cannons Creek,English,560,
Cannum,English,48,
Canterbury,English,5899,
Cape Bridgewater,English,125,
Cape Clear,English,119,
Cape Conran,English,3,
Cape Otway,English,14,
Cape Paterson,English,769,
Cape Schanck,English,419,
Cape Woolamai,English,1532,
Capels Crossing,English,32,
Carag Carag,English,56,
Caralulup,English,3,
Caramut,English,223,
Carapooee,English,58,
Carapooee West,English,14,
Carapook,English,54,
Carboor,English,89,
Cardigan,English,717,
Cardigan Village,English,627,
Cardinia,English,326,
Cardross,English,681,
Cargerie,English,27,
Carina,English,21,
Caringal,English,21,
Carisbrook,English,1058,
Carlisle River,English,128,
Carlsruhe,English,291,
Carlton,English,6259,
Carlton North,English,4868,
Carlyle,English,78,
Carnegie,English,9440,
Carngham,English,137,
Caroline Springs,English,12432,
Carpendeit,English,120,
Carrajung,English,87,
Carrajung Lower,English,84,
Carrajung South,English,32,
Carranballac,English,43,
Carron,English,21,
Carrum,English,3336,
Carrum Downs,English,15930,
Carwarp,English,60,
Cashmore,English,209,
Cassilis,English,20,
Castella,English,240,
Casterton,English,1493,
Castle Creek,English,73,
Castle Donnington,English,103,
Castlemaine,English,5848,
Catani,English,255,
Cathcart,English,85,
Cathkin,English,21,
Catumnal,English,8,
Caulfield,English,3527,
Caulfield East,English,785,
Caulfield North,English,10497,
Caulfield South,English,8108,
Caveat,English,43,
Cavendish,English,319,
Ceres,English,246,
Chadstone,English,3775,
Chandlers Creek,English,3,
Chapple Vale,English,27,
Charam,English,32,
Charlemont,English,225,
Charleroi,English,71,
Charlton,English,945,
Chatsworth,English,38,
Chelsea,English,6065,
Chelsea Heights,English,4253,
Cheltenham,English,16143,
Chepstowe,English,59,
