Post code,Suburb,State,State_code,Latitude,Longitude
3000,Melbourne,Victoria,VIC,-37.814,144.9633
3001,Melbourne,Victoria,VIC,-37.814,144.9633
3002,East Melbourne,Victoria,VIC,-37.8167,144.9879
3003,West Melbourne,Victoria,VIC,-37.807756,144.924599
3004,St Kilda Road Central,Victoria,VIC,-37.814,144.9633
3004,Melbourne,Victoria,VIC,-37.814,144.9633
3004,St Kilda Road Melbourne,Victoria,VIC,-37.814,144.9633
3005,World Trade Centre,Victoria,VIC,-37.8152,144.9632
3006,Southbank,Victoria,VIC,-37.825125,144.964444
3006,South Wharf,Victoria,VIC,-37.8253,144.9522
3008,Docklands,Victoria,VIC,-37.817830,144.942101
3010,University Of Melbourne,Victoria,VIC,-37.7958,144.9612
3011,Footscray,Victoria,VIC,-37.8,144.9
3011,Seddon West,Victoria,VIC,-37.7995,144.8963
3011,Seddon,Victoria,VIC,-37.8061,144.8907
3012,Tottenham,Victoria,VIC,-37.7985,144.8626
3012,Kingsville,Victoria,VIC,-37.8082,144.8791
3012,Maidstone,Victoria,VIC,-37.7803,144.8735
3012,Brooklyn,Victoria,VIC,-37.8161,144.8415
3012,West Footscray,Victoria,VIC,-37.7975,144.8773
3013,Yarraville,Victoria,VIC,-37.817607,144.882459
3013,Yarraville West,Victoria,VIC,-37.8249,144.8708
3015,Spotswood,Victoria,VIC,-37.8298,144.8852
3015,South Kingsville,Victoria,VIC,-37.8302,144.8709
3015,Newport,Victoria,VIC,-37.8443,144.8848
3016,Williamstown,Victoria,VIC,-37.857,144.8977
3016,Williamstown North,Victoria,VIC,-37.8552,144.8826
3018,Seaholme,Victoria,VIC,-37.864,144.845
3018,Altona,Victoria,VIC,-37.861756,144.819286
3019,Braybrook,Victoria,VIC,-37.7867,144.8548
3019,Robinson,Victoria,VIC,-37.7867,144.8548
3020,Sunshine North,Victoria,VIC,-37.764439,144.836992
3020,Sunshine West,Victoria,VIC,-37.796807,144.811673
3020,Sunshine,Victoria,VIC,-37.7833,144.8333
3020,Albion,Victoria,VIC,-37.776730,144.817630
3020,Glengala,Victoria,VIC,-37.775,144.8333
3021,St Albans,Victoria,VIC,-37.745,144.8005
3021,Albanvale,Victoria,VIC,-37.7461,144.7686
3021,Kings Park,Victoria,VIC,-37.734,144.7777
3021,Kealba,Victoria,VIC,-37.7371,144.8283
3022,Deer Park East,Victoria,VIC,-37.7764,144.8016
3022,Ardeer,Victoria,VIC,-37.7759,144.8014
3023,Deer Park,Victoria,VIC,-37.7667,144.7833
3023,Cairnlea,Victoria,VIC,-37.7593,144.7878
