Community Name,Community Type,Population density,Area (km sq),Child Protection Services,Community Health Services,SAAP/Homelessness,Disability Services,Mental Health Services,Health/Human services sites,Dental sites,General practice sites,Pharmacy Sites,Allied Health Sites,Complementary Health Sites,Child Care/Kindergarten Sites,Residential aged care facilities,Licensed aged care places,Primary schools,Secondary school,P-12 schools,Other schools,Nearest Health Service,Distance to Nearest Health Service,Born Overseas,Speakes language other than English at home,Main cultural group 1 (name),Main cultural group 1 (percentage),Main cultural group 2 (name),Main cultural group 2 (percentage),Main cultural group 3 (name),Main cultural group 3 (percentage),Main cultural group 4 (name),Main cultural group 4 (percentage),Other cultural group (percentage)
Abbotsford,Suburb,2782.979104,1.78765266,2,0,0,6,0,25,1,2,2,7,3,4,2,84,1,0,2,0,St Vincent's Hospital,3.197558473,26.4,23.7,Anglo Saxon and Celtic,58.7,South East Asian,9.6,Greek,9.5,East Asian,5.3,16.9
Aberfeldie,Suburb,2853.966078,1.346897579,0,0,0,0,0,13,0,3,2,1,0,4,0,0,3,1,0,0,Western Hospital (Footscray),6.135447686,15.4,14.2,Anglo Saxon and Celtic,63.8,Italian,12.1,South Asian,4.2,German,3.4,16.5
Aireys Inlet-Fairhaven,Town,156.200335,8.30984133,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,Lorne Community Hospital,17.73507684,8.7,1.7,Anglo Saxon and Celtic,85.7,German,4.8,Central European,1.9,Franco-Belgian,1.4,6.1
Airport West,Suburb,1983.793483,3.72972291,0,0,0,0,0,16,2,3,2,2,0,3,0,0,2,0,0,0,Broadmeadows Health Service,6.427863648,27.4,31.0,Anglo Saxon and Celtic,45.9,Italian,26.7,Greek,5.4,Hispanic,2.9,19.1
Albanvale,Suburb,2958.59646,2.031030619,0,0,0,0,0,5,0,1,1,2,0,1,0,0,1,0,0,0,Sunshine Hospital,4.85301362,43.7,53.9,Anglo Saxon and Celtic,29.4,Italian,13.4,South East Asian,11.9,Balkan,8.7,36.5
Albert Park,Suburb,1846.766402,3.428154201,0,0,0,1,2,31,1,5,2,9,3,3,1,60,1,2,0,0,The Alfred,3.554101956,23.0,16.1,Anglo Saxon and Celtic,67.7,Greek,13.1,Italian,4.0,German,3.3,11.9
Alberton,Town,57.14973616,3.079629265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yarram and District Health Service,6.237742921,9.6,3.6,Anglo Saxon and Celtic,85.4,Dutch,7.3,Hispanic,2.4,German,2.4,2.4
Albion,Suburb,1680.213228,2.522298914,0,0,0,2,0,2,0,0,0,0,0,2,0,0,2,0,0,0,Sunshine Hospital,3.302877128,40.5,40.2,Anglo Saxon and Celtic,40.2,Italian,10.6,South Asian,9.5,South East Asian,7.2,32.5
Alexandra,Town,498.6709628,4.477902598,0,1,0,0,0,13,0,3,0,3,0,2,1,39,2,1,0,0,Alexandra District Hospital,0.8012115,9.2,1.8,Anglo Saxon and Celtic,88.2,Dutch,2.7,German,2.6,Italian,1.2,5.4
Alfredton,Suburb,1095.094992,6.434145028,0,0,0,6,0,9,0,0,0,1,1,3,0,0,2,0,0,0,Ballarat Hospital,4.712918724,8.5,4.4,Anglo Saxon and Celtic,86.0,German,2.6,Dutch,1.8,Italian,1.5,8.1
Allansford,Town,732.901783,0.994676254,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,South West Healthcare (Warrnambool),10.9592808,3.5,0.0,Anglo Saxon and Celtic,89.9,Dutch,2.6,German,2.6,Greek,1.4,3.4
Alphington,Suburb,1834.439424,2.814483778,0,0,0,22,0,7,0,0,0,0,0,5,1,45,2,0,1,0,Austin Hospital,4.131796345,19.5,17.9,Anglo Saxon and Celtic,63.9,Greek,9.1,Italian,8.6,German,2.8,15.6
